UQAM_Sample_id,UF_Sample_id,Collection_Date,Location,Location_id,Replicate_id,Water_Depth,Core_Section,d13C,perc_OC,pyC,Lambda,Sigma8,S,V,C,P,SV,CV,PVS,BdV,AcAds,AcAdv
2,1,2/2/18,Montecito Debris,MD,1,0,NA,-27.05,3.59,4.75,3.41,12.24,2.35,0.86,0.2,0.34,2.73,0.23,0.11,0.23,0.21,0.34
5,4,2/2/18,Montecito Debris,MD,2,0,NA,-27.02,3.49,4.58,1.46,5.08,0.91,0.46,0.08,0.26,1.97,0.16,0.19,0.36,0.33,0.51
8,7,2/2/18,Goleta Beach,GBEA,1,0,0-11,-23.59,0.21,0.35,0.16,0.03,0.12,0.03,0.01,0.07,4.83,0.43,0.5,3.1,0.4,1.19
11,10,2/2/18,Goleta Beach,GBEA,2,0,0-11,-22.92,0.13,0.44,0.08,0.01,0.06,0.02,NA,0.07,4.03,NA,0.94,2.36,0.29,1.07
14,13,2/2/18,Goleta Slough,GOSL,1,0,0-17,-22.53,0.09,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,16,2/2/18,Goleta Slough,GOSL,2,0,0-18,-25.43,0.28,0.32,0.48,0.13,0.37,0.11,NA,0.07,3.26,0.04,0.14,0.43,0.17,0.29
20,19,2/23/18,Debris Deposition Site,DD,1,0,0-14,-26.28,0.26,0.79,0.56,0.14,0.37,0.17,0.02,0.11,2.22,0.1,0.2,0.5,0.24,0.39
23,22,2/23/18,Debris Deposition Site,DD,2,0,0-11,-25.68,0.21,0.32,0.84,0.18,0.59,0.24,0.02,0.08,2.46,0.07,0.1,0.32,0.23,0.32
26,25,2/23/18,Goleta Beach,GBEA,1,0,0-13,-23.88,0.15,0.44,0.07,0.01,0.06,0.01,NA,0.02,8.92,NA,0.29,3.62,0.35,NA
29,28,2/23/18,Goleta Beach,GBEA,2,0,0-14,-23.95,0.14,0.41,0.11,0.01,0.09,0.01,NA,0.03,6.32,NA,0.32,1.8,0.27,NA
